raison_soc,adresse_1,adresse_2,adresse_3,code_posta,commune,decription,descriptif,descript_1,informatio,informat_1,marques_et,chartes,telephon,mail,site_inter
Imagine,,,Lac de Passeligne - Pont Bourbonnais,47550,BOE,"Situé aux portes d?Agen, au bord du lac Passeligne, Imagine vous invite à savourer sa cuisine axée sur les produits de la mer, mais pas uniquement ! L?équipe du restaurant vous garantit une cuisine simple et pleine de fraîcheur. Imagine offre la p","Formule le midi en semaine : 14 euros et 18 euros
4 menus : de 28 euros à 42 euros
Menu enfant (- 12 ans) : à partir de 9,50 euros
A la carte : de 12 euros à 25 euros",,"Ouvert toute l'année, du mardi au dimanche midi. Fermé le dimanche soir et le lundi.",,,,+33 5 53 68 58 16,imagine@fbrg.fr,www.uneaubergeengascogne.com
Osaka,,38 boulevard Sylvain Dumont,,47000,AGEN,"Situé en centre-ville, face à la gare d?Agen, venez faire une escale au pays du soleil levant au restaurant japonais Osaka. Sa carte variée et riche vous propose sushis, makis, sashimis, brochettes de viandes et poissons et de nombreux plats traditio",,,"Ouvert toute l'année, du lundi au samedi.",,,,+33 5 53 66 31 76,,http://osaka-agen.fr
Teo Japon,,3 bis rue Palissy,,47000,AGEN,"Teo Japon vous invite à vous évader en découvrant les saveurs du pays du soleil levant. Le restaurant sert une cuisine traditionnelle japonaise dans des Bento (boîtes à compartiments typiques) ainsi que des assiettes de sushis, de poisson et de vian","Menus du midi : de 15,50 euros à 23,50 euros
Menus du soir : de 26,00 euros à 38,00 euros",,"Ouvert le  midi du mardi au vendredi, ouvert le soir du jeudi au samedi. Fermé le dimanche et le lundi. Possibilité de réservation de l'établissement pour soirées et événements privés.",,,,+33 9 52 40 30 40 ou +33 6 09 32 10 04,,http://www.teojapon.com/
La Cinquième Saison,,14 place du Maréchal Foch,,47000,AGEN,"A deux pas de la gare, la crêperie La Cinquième Saison est nichée dans une petite rue donnant directement sur la cathédrale Saint-Caprais d?Agen, vous offrant un cadre historique remarquable. Cette crêperie vous invite à goûter ses galettes de sa",,,,,,,+33 5 53 95 87 11,,
La Marmite Fleurie,,,ZAC Le Redon,47240,BON-ENCONTRE,"A 10 minutes d?Agen, sur la commune de Bon-Encontre, venez goûter à une cuisine traditionnelle où tout est fait maison au restaurant La Marmite Fleurie. Trouvez dans ce lieu chaleureux des spécialités locales ainsi que des plats typiques espagnols.",,,,,,,+33 5 53 47 79 22,,
Le Caoulet,,53 avenue du Caoulet,,47510,FOULAYRONNES,,,,,,,,+33 5 53 95 62 19,,
Le Colonial Café,,10 avenue du Général De Gaulle,,47000,AGEN,"Situé dans le centre-ville d?Agen, Le Colonial Café vous sert des plats simples, conviviaux et traditionnels. Dans une atmosphère chaleureuse et festive, profitez le midi de sa formule brasserie. Une salle privée pour les repas de groupe et autres ?",,,,,,,+33 5 53 48 28 10,,www.colonial-cafe.net
L'Imprévu,,7 rue Camille Desmoulin,,47000,AGEN,"Installé à Agen, le restaurant L?Imprévu vous reçoit dans sa salle à l?ambiance chaleureuse locale ! Trouvez dans votre assiette des plats typiques du Sud-ouest, avec notamment un menu proposant la découverte des produits du Lot-et-Garonne (foie","Menu adulte : 14 euros, 18 euros, 22 euros et 29 euros
Carte",,"Ouvert toute l'année, du mardi au samedi midi et soir et le lundi midi.",,,,+33 5 53 66 39 31,,
Carré Gourmand,,2 rue Montalembert,,47550,BOE,"A deux pas d?Agen, le restaurant Carré Gourmand vous invite à venir passer un moment gastronomique agréable dans un cadre « rustique » modernisé. Profitez de l?ambiance conviviale et gourmande qui règne dans les 3 salles du restaurant. Apprécie",,,,,,,+33 5 53 95 22 22,carregourmand47@orange.fr,www.carregourmand.com
La Cucina,,25 rue Emile Sentini,,47000,AGEN,"Située près de la gare d?Agen, la brasserie/pizzeria La Cucina vous invite à découvrir les saveurs de l?Italie. Le chef prépare des pizzas et des plats avec des ingrédients frais de qualité. Après un accueil simple et chaleureux, installez vous","Formule midi : 13,50 euros (entrée/plat/dessert)
A la carte :
- entrée : de 10 à 16 euros
- plat : de 11 à 18 euros
- dessert : de 4 à 8 euros","Formule midi : 13,50 euros (entrée/plat/dessert)
A la carte :
- entrée : de 10 à 16 euros
- plat : de 11 à 18 euros
- dessert : de 4 à 8 euros","Ouvert de mai à novembre le lundi, mercredi soir, jeudi vendredi, samedi et dimanche midi de 12h à 14h30 et de 19h à 22h30.
Ouvert de décembre à avril le lundi midi, mercredi midi, jeudi, vendredi, samedi et dimanche midi de 12h à 14h30 et de 19h ?","Ouvert de mai à novembre le lundi, mercredi soir, jeudi vendredi, samedi et dimanche midi de 12h à 14h30 et de 19h à 22h30.
Ouvert de décembre à avril le lundi midi, mercredi midi, jeudi, vendredi, samedi et dimanche midi de 12h à 14h30 et de 19h ?",,,+33 9 54 58 44 49,,
